178|179	irascibilis, |et concupiscibilis. Appetitus autem intellectiuus, 	et concupiscibilis apetitus autem intellectiuus 	161
180	qui dicitur voluntas, 	qui dicitur uoluntas est indiuisus 	162
181	remanet indiuisus. Nam cum intellectus uniuersaliori modo respiciat suum obiectum quam sensus, 	nam cum intellectus uniuersaliori modo respiciat suum obiectum 	163
182	appetitus intellectiuus, 	quam sensus appetitus intellectiuus 	164
183	qui sequitur intellectum uniuersaliori modo, 	qui sequitur intellectum uniuersaliori modo fertur 	165
184|185	fertur in bonum, |quam appetitus secundum sensum: 	in bonum quem apetitus sem sensum 	166
186	et quia quanto aliquid 	et 	167
187	sub uniuersaliori modo accipitur, 	quia quanto quid uniuersaliori modo accipitur |tanto unum 	168|169
188|189	tanto unum et idem existens ad plura se extendit, |licet appetitus sensitiuus sit alius, 	et idem existens ad plura se extendit licet appetitus sensituius 	170
190	et alius, 	sit aluus 	171
191	secundum quem prosequimur delectabilia, 	et aluis serquem prosequitur delectabilia ss sensum 	172
192	et secundum quem aggredimur terribilia: 	et aggredimur terribiliam 	173
193	appetitus tamen intellectiuus unus, 	appetitus |tamen intellectuus unus 	174|175
194	et idem existens fertur 	et idem existens ferturin omen 	176
195|196	in omne bonum intelligibile. |Non ergo est alius appetitus intellectiuus, 	bonum intelligibile non est ergo alius appetitus intedectiuus sensum 	177
197	secundum quem prosequimur bona delectabilia per intellectum, 	quem prosequintur bona delectabilia |per intellectum 	178|179
198	et aggredimur bona ardua: 	et aggredimur bona ardua 	180
199|200	sicut est alius appetitus sensitiuus, |secundum quem prosequimur bona sensibilia delectabilia, 	sicut est alis appetitus sensitiuus sem quem prosequimur bona delectabilia 	181
201|202	et aggredimur terribilia. |Quare si omnis virtus moralis, vel est in intellectu, 	et aggredimur terribilia quare si omnis uirtus moralis uel est in intellettu uel in appetitu 	182
203|204	vel in appetitu: |et appetitus alius intellectiuus 	et appetitus alius est intellectius ut uoluntas 	183
205	ut voluntas, 		
206	alius est sensitiuus: 	et alius est sensitiuus 	184
207|208	et hoc duplex, |irascibilis scilicet, et concupiscibilis: 	et hic est dupplex scilicet irascibilis 	185
209|210	oportet omnem virtutem moralem, |vel esse in intellectu, 	et concupiscibilis oportet omnem uirtutem esse uel in intellectu uel in appetitu intellectiuo uel in irascibili uel in concupiscibili accipiendo 	186
211	vel in voluntate, 	ergo uirtutem moralem large 	187
212	vel in irascibili, 	prout ipsa prudencia dicitur 	188
213	vel in concupiscibili. Accipiendo ergo virtutem moralem large prout ipsa prudentia dicitur quaedam virtus moralis, 	quedum uirtus moralis dice possumus |quod sensum has quatuor potentias anime 	189|190
214	dicere possumus 	in quibus habent 	191
215|216	quod secundum has quatuor potentias animae in quibus habet esse virtus, sumptae sunt quatuor Virtutes Cardinales; |videlicet, Prudentia, 	esse uirtus moralis sumpte sunt quatuor uirtutes cardinales scilicet prudencia iusticia fortitudo temperancia 	192
217	Iustitia, Fortitudo, et Temperantia. 		
218|219	Nam Prudentia est in intellectu, |Iustitia in voluntate, 	nam prudentia est in intellectu justicia est in uoluntate fortitudo 	193
220	Fortitudo in irascibili, 	in irascibili temperantia 	194
221	Temperantia in concupiscibili.	in concupiscibili	195
