180	qui dicitur voluntas, 	qui deritur uo ut ruoro remanm indinsus 	119
181|182	remanet indiuisus. Nam cum intellectus uniuersaliori modo respiciat suum obiectum quam sensus, |appetitus intellectiuus, 	nam cum intellectus ueliori modo respiciat suum obiectumquam sensus appetita intellettius 	120
183|184	qui sequitur intellectum uniuersaliori modo, |fertur in bonum, 	qui sequatur intellectum ueliori modo ft o in bonum quam appeus 	121
185	quam appetitus secundum sensum: 	secundum sensu . 	122
186|187	et quia quanto aliquid |sub uniuersaliori modo accipitur, 	quare quamto ad sensu ueliori modo accipitur tanto unum . 	123
188|189	tanto unum et idem existens ad plura se extendit, |licet appetitus sensitiuus sit alius, 	idem existens 	124
190|191	et alius, |secundum quem prosequimur delectabilia, 	ad plura se extendit licet appeus sensus dindatur 	125
192|193	et secundum quem aggredimur terribilia: |appetitus tamen intellectiuus unus, 	ut dictum en appetitustamen intellectius unus . 	126
194	et idem existens fertur 		
195|196	in omne bonum intelligibile. |Non ergo est alius appetitus intellectiuus, 	idem existens ft in omnebo um ut intellitur nuncer ergo est alius appentus intellectinus 	127
197	secundum quem prosequimur bona delectabilia per intellectum, 	secundum quem per sequimur bona delecta is aetura |secundum intllictum . 	128|129
198|199	et aggredimur bona ardua: |sicut est alius appetitus sensitiuus, 	aggerdimur bona ardua sicut est aus appe ues sensicius 	130
200|201	secundum quem prosequimur bona sensibilia delectabilia, |et aggredimur terribilia. 	secundum quem persequim lono delecta nitria sensibilia . aggdimur tribilina unuirtus moralis 	131
202	Quare si omnis virtus moralis, vel est in intellectu, 		
203|204	vel in appetitu: |et appetitus alius intellectiuus 	uel est in intellectu uel in appetu. appeus alius intellitius 	132
205|206	ut voluntas, |alius est sensitiuus: 	ut uo ut etie alius sensitius . hiclic dule sos nasci . 	133
207	et hoc duplex, 		
208	irascibilis scilicet, et concupiscibilis: 		
209|210	oportet omnem virtutem moralem, |vel esse in intellectu, 	concupistiuar oportet uirtutem esse moralem uel esse in intellectu uel in uo 	134
211|212	vel in voluntate, |vel in irascibili, 	ut uelin irasci is uel in concupisci is acupiendo igitur uir tutem moralem large perut ipsa prudecia dictical 	135
213	vel in concupiscibili. Accipiendo ergo virtutem moralem large prout ipsa prudentia dicitur quaedam virtus moralis, 	quedamuirtus moralis 	136
214	dicere possumus 	dicere possunus . 	137
215|216	quod secundum has quatuor potentias animae in quibus habet esse virtus, sumptae sunt quatuor Virtutes Cardinales; |videlicet, Prudentia, 	pro secundum has omiiion posanime in quibus beb esse uirtus sunpte sunt uirtutes omiion cardinales sos prudencia iustiuam fortio . 	138
217	Iustitia, Fortitudo, et Temperantia. 	tenperaniam 	139
218|219	Nam Prudentia est in intellectu, |Iustitia in voluntate, 	nam prudencia est in intellectu iusticia in uo etie forti 	140
220|221	Fortitudo in irascibili, |Temperantia in concupiscibili.	in itasci is tenperantia in un	141
